,place,count
0,נהורה,46
1,מדרך עוז,2
2,בצרה,19
3,מענית,1
4,משגב דב,127
5,בן זכאי,127
6,כוכב השחר,2
7,נעלה,3
8,אבן ספיר,6
9,בית הלל,1
10,מטע,7
11,ערוגות,164
12,כפר גלעדי,1
13,אחיסמך,68
14,יגל,57
15,כרמי צור,8
16,מעברות,2
17,נחלים,28
18,בית מאיר,7
19,דימונה,13
20,"כפר הרי""ף",164
21,קשת,3
22,תקוע,11
23,בית הגדי,90
24,עינת,28
25,עין איילה,5
26,ניצן ב',231
27,כפר נטר,19
28,שדה עוזיהו,207
29,נען,22
30,לימן,4
31,תקומה,92
32,גן חיים,18
33,בית עוזיאל,22
34,גני יוחנן,22
35,שער אפרים,19
36,גאולים,19
37,גנות,57
38,שורש,7
39,גן יבנה,245
40,באר טוביה,174
41,שדה יצחק,1
42,אשכולות,9
43,מעלה אדומים,11
44,צופית,18
45,אודים,19
46,עץ אפרים,3
47,שוהם,57
48,בר גיורא,7
49,גשר הזיו,2
50,פדואל,2
51,בית שמש,20
52,גבעת ברנר,89
53,אזור,70
54,עמינדב,6
55,פוריידיס,5
56,מכמורת,2
57,כפר שמריהו,39
58,כפר יונה,2
59,בני ברק,67
60,אבן שמואל,47
61,משאבי שדה,18
62,בוסתן הגליל,1
63,כפר שמואל,22
64,עזריקם,207
65,נס ציונה,89
66,חרוצים,19
67,מעגן מיכאל,3
68,שואבה,7
69,לוד,68
70,ישרש,68
71,מזור,28
72,רינתיה,28
73,שפיר,106
74,חמד,57
75,חדרה,4
76,אילון,1
77,תרום,20
78,רימונים,2
79,מצפה יריחו,2
80,כפר עציון,8
81,שדמה,127
82,זיתן,57
83,עין יעקב,11
84,פסגות,3
85,רעננה,28
86,ירושלים,4
87,בני עטרות,28
88,הוד השרון,22
89,קריית מלאכי,8
90,מגדים,1
91,חצב,240
92,לכיש,23
93,משמר העמק,2
94,יציץ,22
95,ישעי,20
96,משואות יצחק,96
97,שדה ורבורג,19
98,כפר הס,19
99,גיאה,102
100,דורות,2
101,אחיטוב,2
102,זרחיה,51
103,רחובות,89
104,מסילת ציון,20
105,גן שמואל,1
106,חופית,2
107,קבוצת יבנה,128
108,שדי חמד,22
109,גבעת ישעיהו,38
110,רמות מאיר,22
111,בני דרור,19
112,גן שורק,103
113,עין שריד,19
114,חולון,72
115,חיבת ציון,2
116,ראשון לציון,107
117,נווה מבטח,236
118,בית נחמיה,57
119,כפר סירקין,34
120,נתיבות,99
121,גבעתי,207
122,אחיעזר,57
123,מסלול,39
124,יקיר,3
125,קריית גת,1
126,חגלה,2
127,מצליח,68
128,שבי ציון,2
129,גן יאשיה,2
130,תנובות,2
131,העוגן,2
132,מרום גולן,3
133,שדה משה,48
134,בית עזרא,207
135,ניר צבי,68
136,רמת רזיאל,7
137,אלומה,50
138,סגולה,51
139,רהט,40
140,כפר הנגיד,83
141,שעלבים,6
142,בית חנן,89
143,תלמי יחיאל,164
144,נווה דניאל,8
145,יבול,91
146,עמיקם,3
147,ינון,164
148,כפר מסריק,1
149,"גבעת כ""ח",28
150,צלפון,20
151,אבן יהודה,19
152,נס הרים,7
153,שמיר,10
154,גינתון,68
155,מעגלים,67
156,כפר סאלד,10
157,כסיפה,7
158,כפר אחים,164
159,עין ראפה,7
160,קדר,11
161,אביאל,3
162,נווה זיו,11
163,רשפון,28
164,אחוזם,47
165,כפר בן נון,22
166,הזורע,2
167,כפר טרומן,57
168,קלנסווה,19
169,נצר סרני,89
170,מעש,48
171,פורת,19
172,עכו,1
173,כפר ויתקין,2
174,נתיב העשרה,294
175,אילת,2
176,אלישיב,2
177,בת ים,71
178,משען,71
179,נווה ירק,22
180,עברון,2
181,כפר אוריה,20
182,ברכיה,71
183,ביתר עילית,8
184,אליקים,2
185,משמרת,19
186,אופקים,60
187,בני ציון,19
188,סעד,114
189,ירחיב,22
190,באר שבע,163
191,מעלה מכמש,2
192,יקום,19
193,מעלה לבונה,2
194,מעיין צבי,5
195,אור יהודה,48
196,חניאל,2
197,כפר ראש הנקרה,4
198,נתניה,2
199,ניר ישראל,70
200,חרב לאת,2
201,שתולים,207
202,בית יהושע,19
203,כוכב מיכאל,46
204,זכריה,38
205,נווה ימין,18
206,פטיש,23
207,כפר יעבץ,19
208,אלעד,28
209,דולב,3
210,מגשימים,28
211,פדיה,22
212,טירה,19
213,גנות הדר,2
214,מעיין ברוך,1
215,רמות השבים,22
216,שקף,4
217,מצובה,4
218,יערה,1
219,משמר הנגב,38
220,גמזו,6
221,שפיים,19
222,ברור חיל,22
223,שדות ים,2
224,כפר תפוח,2
225,יבנה,83
226,אלישמע,22
227,ינוב,2
228,"גבעת ניל""י",3
229,אשדוד,276
230,רמלה,68
231,עזריאל,19
232,ניר גלים,257
233,משמר השבעה,57
234,כפר סבא,18
235,כפר מונש,2
236,מטולה,1
237,טייבה,19
238,כפר ורבורג,165
239,אמונים,207
240,עין העמק,2
241,חדיד,57
242,מפלסים,79
243,רמות מנשה,2
244,מייסר,2
245,ראש צורים,8
246,כפר קאסם,22
247,בית חנניה,3
248,עין הבשור,19
249,גדרה,102
250,חגור,22
251,"כפר הרא""ה",2
252,נבטים,96
253,רביבים,18
254,אור עקיבא,2
255,בית גמליאל,127
256,צרעה,20
257,בניה,127
258,שדרות,135
259,זכרון יעקב,5
260,מבוא חורון,6
261,עזריה,22
262,קדרון,94
263,מגן,19
264,פתח תקווה,78
265,ברקת,57
266,תלמי אלעזר,1
267,תימורים,174
268,רמת הכובש,19
269,הר גילה,8
270,"כפר ביל""ו",22
271,בית חורון,3
272,אדרת,20
273,פתחיה,22
274,אלעזר,8
275,עין השופט,2
276,בן עמי,3
277,"יד רמב""ם",22
278,ניצן,236
279,בני ראם,98
280,חורה,74
281,בית אלעזרי,94
282,בת עין,8
283,יכיני,5
284,אשקלון,276
285,מעלה שומרון,3
286,גבעתיים,67
287,בית שקמה,1
288,כפר עזה,114
289,ניר בנים,50
290,יתד,91
291,אשתאול,20
292,כפר אביב,127
293,ניר עציון,1
294,רמת גן,67
295,גני תקווה,48
296,כברי,3
297,אומץ,2
298,גאליה,83
299,ביצרון,236
300,עופר,5
301,בקוע,20
302,גבעת השלושה,34
303,כפר מנחם,164
304,עין קנייא,2
305,גבעת שמואל,67
306,נירית,22
307,ערד,7
308,צרופה,5
309,עוצם,46
310,חלמיש,2
311,חבצלת השרון,2
312,תלמים,22
313,עשרת,127
314,ראש העין,28
315,בורגתה,2
316,בית הלוי,2
317,גילת,113
318,שובל,38
319,כרמי יוסף,22
320,גבעת יערים,7
321,מגל,2
322,מאור,1
323,רמת השרון,39
324,אביעזר,20
325,נגבה,47
326,ניצני עוז,2
327,רמות נפתלי,1
328,אביחיל,2
329,אורה,6
330,שחר,46
331,טל שחר,20
332,מישר,127
333,עין כרמל,1
334,"ניל""י",3
335,עזר,207
336,גבע כרמל,1
337,כפר חיים,2
338,בטחה,101
339,עין ורד,19
340,מבועים,10
341,להבות הבשן,10
342,מודיעין עילית,6
343,בית עריף,57
344,נוקדים,11
345,טירת יהודה,57
346,בארותיים,2
347,עולש,2
348,רמת השופט,2
349,כפר ידידיה,2
350,עטרת,2
351,שדה נחמיה,10
352,אביגדור,164
